事件,触发器,总数,百公里触发次数,高速全部,高速有回传,城市全部,城市有回传
CIPV_VEH_LOST,车辆CIPV丢失触发器,24, 0.217, 0, 0, 0, 0
CIPV_POS_EXCEPTION_VEH,车辆CIPV位置异常触发器,1, 0.009, 0, 0, 0, 0
CIPV_POS_SHIFT_DIFF_VEH,车辆CIPV位置速度自洽性异常触发器,26, 0.236, 0, 0, 0, 0
['CIPV_THETA_DIFF_VEH', 'CIPV车辆朝向异常'],0,0,0,0,0,0
['LARGE_VEHICLE_POS_EXCEPTION', '大车位置异常触发器'],0,0,0,0,0,0
LARGE_VEHICLE_POS_SHIFT_DIFF,大车位置速度自洽性异常触发器,8, 0.072, 0, 0, 0, 0
['LARGE_VEHICLE_THETA_DIFF', '大车朝向异常触发器'],0,0,0,0,0,0
NarrowCIPV,narrow报出cipv,21, 0.19, 0, 0, 0, 0
['RadarAssignFusionMining', '视觉ID跳变(短暂丢失)'],0,0,0,0,0,0
['RadarTrackFusionMining', '视觉目标长时间丢失(CIPV'],0,0,0,0,0,0
UnderlyingVelocityFusionMining,视觉速度灵敏性(CIPV),34, 0.308, 0, 0, 0, 0
VRUVelocityFusionMining,视觉速度朝向(行人),18, 0.163, 0, 0, 0, 0
RadarPositionFusionMining,视觉位置跳动(CIPV),1, 0.009, 0, 0, 0, 0
,自动驾驶里程,11037

事件,触发器,总数,百公里触发次数,高速全部,高速有回传,城市全部,城市有回传
CIPV_VEH_LOST,车辆CIPV丢失触发器,0,0,0,0,0,0
CIPV_POS_EXCEPTION_VEH,车辆CIPV位置异常触发器,0,0,0,0,0,0
CIPV_POS_SHIFT_DIFF_VEH,车辆CIPV位置速度自洽性异常触发器,20, 22.279, 0, 0, 0, 0
CIPV_THETA_DIFF_VEH,CIPV车辆朝向异常,0,0,0,0,0,0
LARGE_VEHICLE_POS_EXCEPTION,大车位置异常触发器,0,0,0,0,0,0
LARGE_VEHICLE_POS_SHIFT_DIFF,大车位置速度自洽性异常触发器,4, 4.456, 0, 0, 0, 0
LARGE_VEHICLE_THETA_DIFF,大车朝向异常触发器,0,0,0,0,0,0
NarrowCIPV,narrow报出cipv,0,0,0,0,0,0
RadarAssignFusionMining,视觉ID跳变(短暂丢失),0,0,0,0,0,0
RadarTrackFusionMining,视觉目标长时间丢失(CIPV,0,0,0,0,0,0
UnderlyingVelocityFusionMining,视觉速度灵敏性(CIPV),0,0,0,0,0,0
VRUVelocityFusionMining,视觉速度朝向(行人),0,0,0,0,0,0
RadarPositionFusionMining,视觉位置跳动(CIPV),0,0,0,0,0,0
,自动驾驶里程（km）,89

事件,触发器,总数,百公里触发次数,高速全部,高速有回传,城市全部,城市有回传
CIPV_VEH_LOST,车辆CIPV丢失触发器,24, 0.219, 0, 0, 0, 0
CIPV_POS_EXCEPTION_VEH,车辆CIPV位置异常触发器,1, 0.009, 0, 0, 0, 0
CIPV_POS_SHIFT_DIFF_VEH,车辆CIPV位置速度自洽性异常触发器,6, 0.055, 0, 0, 0, 0
CIPV_THETA_DIFF_VEH,CIPV车辆朝向异常,0,0,0,0,0,0
LARGE_VEHICLE_POS_EXCEPTION,大车位置异常触发器,0,0,0,0,0,0
LARGE_VEHICLE_POS_SHIFT_DIFF,大车位置速度自洽性异常触发器,4, 0.037, 0, 0, 0, 0
LARGE_VEHICLE_THETA_DIFF,大车朝向异常触发器,0,0,0,0,0,0
NarrowCIPV,narrow报出cipv,21, 0.192, 0, 0, 0, 0
RadarAssignFusionMining,视觉ID跳变(短暂丢失),0,0,0,0,0,0
RadarTrackFusionMining,视觉目标长时间丢失(CIPV,0,0,0,0,0,0
UnderlyingVelocityFusionMining,视觉速度灵敏性(CIPV),34, 0.311, 0, 0, 0, 0
VRUVelocityFusionMining,视觉速度朝向(行人),18, 0.164, 0, 0, 0, 0
RadarPositionFusionMining,视觉位置跳动(CIPV),1, 0.009, 0, 0, 0, 0
,自动驾驶里程（km）,10947

